listing id,address,latitude,longitude,price,bedrooms,bathrooms,size,availability date,housing type,laundry,parking,cats are OK - purrr,dogs are OK - wooof,furnished,no smoking,wheelchair accessible,EV charging,link,read date,last scrape date
7045412833,7609 Ne Van Mall Dr. near Van Mall Drive.,45.691400,-122.580500,$1802,2,2,1174,2019-12-27,apartment,w/d in unit,attached garage,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-air-conditioning-in-select/7045412833.html,2019-12-27 14:13:06.189930,2019-12-27 15:00:15.978485
7045412761,NE 9th Avenue near NE 105th Street,45.696843,-122.662954,$1104,2,2,940,2019-12-27,apartment,w/d hookups,carport,True,True,,,,,https://portland.craigslist.org/clk/apa/d/vancouver-2020-is-almost-here-your-new/7045412761.html,2019-12-27 14:13:10.538236,2019-12-27 15:00:15.978485
7045412689,16100 SW Century Drive,45.365104,-122.838087,$1254,1,1,733,2019-12-27,apartment,w/d in unit,,True,True,,,True,,https://portland.craigslist.org/wsc/apa/d/sherwood-1bd-located-in-quiet-natural/7045412689.html,2019-12-27 14:13:14.637219,2019-12-27 15:00:15.978485
7045411461,E 24th near E Burnside,45.521609,-122.641325,$1050,1,1,550,2019-12-27,apartment,w/d in unit,street parking,True,True,,,,,https://portland.craigslist.org/mlt/apa/d/portland-beautiful-1-br-in-inner-se/7045411461.html,2019-12-27 14:13:18.613299,2019-12-27 15:00:15.978485
7045412344,10320 SE Pine Street,45.520384,-122.557233,$1382,1,1,667,2020-01-20,apartment,,,True,True,,,,,https://portland.craigslist.org/wsc/apa/d/portland-1-br-spacious-closets-huge/7045412344.html,2019-12-27 14:13:21.225071,2019-12-27 15:00:15.978485
7037503529,Flanders near 21st,45.525587,-122.694393,$2600,2,1,,,duplex,w/d in unit,street parking,,,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-large-and-unique-old-portland/7037503529.html,2019-12-27 14:13:23.057603,2019-12-27 15:00:15.978485
7045412307,"Vancouver, WA",45.623100,-122.576700,$1125,1,1,725,2020-01-10,apartment,w/d in unit,,True,,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-1x1-best-location-wsg-and/7045412307.html,2019-12-27 14:13:26.785186,2019-12-27 15:00:15.978485
7045332990,"Tigard, OR",45.409400,-122.801400,$958,3,2,1147,,house,,,True,True,,,,,https://portland.craigslist.org/mlt/apa/d/portland-pet-friendly-rental-available/7045332990.html,2019-12-27 14:13:30.483085,2019-12-27 15:00:15.978485
7045412008,"Vancouver, WA",45.623100,-122.576700,$1225,2,1,930,,apartment,w/d in unit,,True,,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-specials-2x1-best-location/7045412008.html,2019-12-27 14:13:33.893747,2019-12-27 15:00:15.978485
7045411630,Falk Road,45.641800,-122.625100,$1500,2,2,1016,2019-12-27,apartment,w/d in unit,carport,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-dont-miss-out-on-our-1-month/7045411630.html,2019-12-27 14:13:38.116615,2019-12-27 15:00:15.978485
